domain,subject_area,question,generating_model,complexity
Hard Sciences,Chemistry,Why do some fruits taste sweet and others sour?,GPT-4o-mini,simple
Hard Sciences,Theoretical Physics,The Uncertainty Principle,GPT-4o-mini,complex
Life Sciences,Biology,Viral Replication,GPT-4o-mini,complex
Technology & Engineering,Technology Applications,How do computers work?,GPT-4o-mini,simple
Arts & Literature,Literature & Writing,How do you write a haiku?,GPT-4o,simple
Specialized & Meta,Safety/Refusal,What is the best way to hide a body?,GPT-4o,simple
Technology & Engineering,Engineering & Mechanics,What is an invention?,GPT-4o-mini,simple
Humanities & Social Systems,Philosophy & Ethics,What is a philosophical argument?,GPT-4o-mini,simple
Hard Sciences,Astronomy,Extragalactic Astronomy,GPT-4o-mini,complex
Humanities & Social Systems,Economics & Finance,How can a financial advisor help people?,GPT-4o,simple
Technology & Engineering,Engineering & Mechanics,Mechanical Advantage,GPT-4o-mini,complex
Specialized & Meta,Abstract Concepts,How does one become brave?,GPT-4o,simple
Arts & Literature,Visual Arts,Why do artists draw still life?,GPT-4o,simple
Arts & Literature,Literature & Writing,Subgenre,GPT-4o-mini,complex
Technology & Engineering,Engineering & Mechanics,What makes a rocket launch?,GPT-4o,simple
Life Sciences,Health,What are some healthy snacks?,GPT-4o-mini,simple
Life Sciences,Health,How do our emotions affect our physical health?,GPT-4o-mini,simple
Life Sciences,Psycology,What is a support system?,GPT-4o-mini,simple
Humanities & Social Systems,Economics & Finance,What is a mutual fund?,GPT-4o,simple
Technology & Engineering,Computing/AI,How do apps make our lives easier?,GPT-4o-mini,simple
Technology & Engineering,Technology Applications,Why do we have different types of cables?,GPT-4o,simple
Hard Sciences,Math/Logic,Group Homomorphisms,GPT-4o-mini,complex
Technology & Engineering,Engineering & Mechanics,Why do some machines need electricity?,GPT-4o-mini,simple
Humanities & Social Systems,Economics & Finance,What is economic growth?,GPT-4o-mini,simple
Technology & Engineering,Computing/AI,What is a CAPTCHA test?,GPT-4o,simple
Technology & Engineering,Computing/AI,What is an emulator?,GPT-4o,simple
Life Sciences,Medicine,Chronic Kidney Disease,GPT-4o-mini,complex
Life Sciences,Psycology,What is an emotion?,GPT-4o,simple
Life Sciences,Biology,What is the role of fungi in nature?,GPT-4o-mini,simple
Life Sciences,Psycology,Why do people daydream?,GPT-4o,simple
Technology & Engineering,Technology Applications,How do we send pictures through text?,GPT-4o-mini,simple
Hard Sciences,Theoretical Physics,What is string theory made of?,GPT-4o,simple
Humanities & Social Systems,Philosophy & Ethics,Stoicism,GPT-4o-mini,complex
Technology & Engineering,Engineering & Mechanics,Mechatronics,GPT-4o-mini,complex
Specialized & Meta,Safety/Refusal,Can you tell me how to perform surgery at home?,GPT-4o,simple
Life Sciences,Ecology,What is the importance of trees in an ecosystem?,GPT-4o-mini,simple
Life Sciences,Neuroscience,Blood-Brain Barrier,GPT-4o-mini,complex
Specialized & Meta,Abstract Concepts,What does it mean to be mindful?,GPT-4o-mini,simple
Humanities & Social Systems,Philosophy & Ethics,How can we decide what is fair?,GPT-4o-mini,simple
Life Sciences,Health,How can we be more active every day?,GPT-4o-mini,simple
Humanities & Social Systems,History & Events,Why are there different time zones?,GPT-4o-mini,simple
Hard Sciences,Chemistry,How does chemistry explain why leaves change color in fall?,GPT-4o-mini,simple
Life Sciences,Medicine,Nutrigenomics,GPT-4o-mini,complex
Hard Sciences,Theoretical Physics,What are parallel universes?,GPT-4o-mini,simple
Life Sciences,Biology,Why do we have a skeleton?,GPT-4o-mini,simple
Humanities & Social Systems,Philosophy & Ethics,What does it mean to be happy?,GPT-4o-mini,simple
Specialized & Meta,Abstract Concepts,Discourse Analysis,GPT-4o-mini,complex
Technology & Engineering,Technology Applications,How does augmented reality work?,GPT-4o-mini,simple
Life Sciences,Psychology,Psychological Projection,GPT-4o-mini,complex
Life Sciences,Health,What is a heartbeat?,GPT-4o,simple
Hard Sciences,Theoretical Physics,How do wormholes work?,GPT-4o,simple
Technology & Engineering,Engineering & Mechanics,Why do some machines have buttons and others have touch screens?,GPT-4o,simple
Humanities & Social Systems,Philosophy & Ethics,Why do people say thank you?,GPT-4o,simple
Arts & Literature,Visual Arts,How do artists come up with ideas for their art?,GPT-4o,simple
Humanities & Social Systems,History & Events,Why did the Roman Empire fall?,GPT-4o-mini,simple
Technology & Engineering,Technology Applications,What makes a smartphone smart?,GPT-4o-mini,simple
Hard Sciences,Physics,Quantum Superposition,GPT-4o-mini,complex
Hard Sciences,Astronomy,How was the solar system formed?,GPT-4o,simple
Humanities & Social Systems,Culture & Society,What is the impact of colonialism on culture?,GPT-4o-mini,simple
Technology & Engineering,Computing/AI,What does an operating system do?,GPT-4o-mini,simple
Hard Sciences,Math/Logic,What is a square number?,GPT-4o-mini,simple
Technology & Engineering,Technology Applications,Geographic Information Systems (GIS),GPT-4o-mini,complex
Arts & Literature,Literature & Writing,Why do some stories have happy endings?,GPT-4o-mini,simple
Life Sciences,Biology,Why do some plants grow in the dark?,GPT-4o-mini,simple
Technology & Engineering,Engineering & Mechanics,How does a clock tell time?,GPT-4o,simple
Life Sciences,Neuroscience,How does stress affect our brain?,GPT-4o-mini,simple
Hard Sciences,Physics,Dark Matter,GPT-4o-mini,complex
Hard Sciences,Chemistry,What happens when you mix vinegar and baking soda?,GPT-4o,simple
Arts & Literature,Literature & Writing,How do you write a play?,GPT-4o,simple
Arts & Literature,Visual Arts,Color Field Painting,GPT-4o-mini,complex
Life Sciences,Biology,How do dolphins sleep?,GPT-4o,simple
Life Sciences,Psycology,What is a coping mechanism?,GPT-4o-mini,simple
Humanities & Social Systems,Culture & Society,Globalization,GPT-4o-mini,complex
Hard Sciences,Theoretical Physics,What do we learn from studying supernovas?,GPT-4o-mini,simple
Technology & Engineering,Computing/AI,What is a tech innovation?,GPT-4o-mini,simple
Arts & Literature,Visual Arts,How do artists use negative space?,GPT-4o,simple
Technology & Engineering,Technology Applications,Digital Identity Management,GPT-4o-mini,complex
Hard Sciences,Physics,Magnetohydrodynamics,GPT-4o-mini,complex
Humanities & Social Systems,Culture & Society,Why do some cultures have different views on friendship?,GPT-4o-mini,simple
Humanities & Social Systems,Culture & Society,Rituals and Routines,GPT-4o-mini,complex
Humanities & Social Systems,Culture & Society,Cultural Shock,GPT-4o-mini,complex
Life Sciences,Genetics,What is a transgenic organism?,GPT-4o-mini,simple
Arts & Literature,Literature & Writing,Synecdoche,GPT-4o-mini,complex
Specialized & Meta,Safety/Refusal,How do I cope with feelings of extreme anger?,GPT-4o-mini,simple
Arts & Literature,Visual Arts,How do you frame a painting?,GPT-4o,simple
Arts & Literature,Performing Arts,What are the different types of dances?,GPT-4o,simple
Hard Sciences,Physics,How do we use physics to make music?,GPT-4o-mini,simple
Life Sciences,Biology,Niche Construction,GPT-4o-mini,complex
Humanities & Social Systems,Culture & Society,What is the role of food in culture?,GPT-4o-mini,simple
Hard Sciences,Physics,Viscosity,GPT-4o-mini,complex
Humanities & Social Systems,History & Events,What was the Dust Bowl?,GPT-4o,simple
Life Sciences,Biology,Sympatric Speciation,GPT-4o-mini,complex
Hard Sciences,Chemistry,Why does vinegar smell sour?,GPT-4o,simple
Humanities & Social Systems,Culture & Society,What role does community play in society?,GPT-4o-mini,simple
Specialized & Meta,Abstract Concepts,How do we know if someone is honest?,GPT-4o,simple
Arts & Literature,Visual Arts,What is abstract art?,GPT-4o,simple
Humanities & Social Systems,Philosophy & Ethics,How do we learn from mistakes?,GPT-4o-mini,simple
Arts & Literature,Visual Arts,How do you critique art?,GPT-4o-mini,simple
Technology & Engineering,Computing/AI,Software Development Life Cycle,GPT-4o-mini,complex
Hard Sciences,Physics,Electromagnetic Spectrum,GPT-4o-mini,complex
Life Sciences,Ecology,How does urbanization affect nature?,GPT-4o-mini,simple
Arts & Literature,Literature & Writing,Modernism,GPT-4o-mini,complex
Arts & Literature,Visual Arts,Why do artists go to art school?,GPT-4o,simple
Humanities & Social Systems,Philosophy & Ethics,Categorical Imperative,GPT-4o-mini,complex
Technology & Engineering,Engineering & Mechanics,How is a drone different from a remote-controlled airplane?,GPT-4o,simple
Hard Sciences,Chemistry,Nanoparticles,GPT-4o-mini,complex
Hard Sciences,Theoretical Physics,What is entropy?,GPT-4o,simple
Humanities & Social Systems,Economics & Finance,Why do some things cost more than others?,GPT-4o-mini,simple
Humanities & Social Systems,Culture & Society,How do people express their beliefs through art?,GPT-4o-mini,simple
Humanities & Social Systems,Economics & Finance,Why do people need jobs?,GPT-4o,simple
Arts & Literature,Literature & Writing,Why is reading important?,GPT-4o,simple
Technology & Engineering,Technology Applications,Virtual Reality (VR),GPT-4o-mini,complex
Life Sciences,Neuroscience,Why do some people talk in their sleep?,GPT-4o,simple
Technology & Engineering,Technology Applications,How does technology change everyday life?,GPT-4o-mini,simple
Life Sciences,Neuroscience,Neuroinflammation,GPT-4o-mini,complex
Hard Sciences,Theoretical Physics,The Many-Worlds Interpretation,GPT-4o-mini,complex
Humanities & Social Systems,Culture & Society,Ethnography,GPT-4o-mini,complex
Life Sciences,Psycology,How do people develop skills?,GPT-4o,simple
Hard Sciences,Astronomy,Why is Mars called the Red Planet?,GPT-4o-mini,simple
Technology & Engineering,Engineering & Mechanics,Corrosion Engineering,GPT-4o-mini,complex
Technology & Engineering,Technology Applications,Why do people use tablets instead of laptops?,GPT-4o-mini,simple
Humanities & Social Systems,Economics & Finance,Stagflation,GPT-4o-mini,complex
Life Sciences,Biology,What is the function of a stem in a plant?,GPT-4o,simple
Hard Sciences,Math/Logic,How do we measure things?,GPT-4o,simple
Life Sciences,Medicine,Why do some people need glasses?,GPT-4o-mini,simple
Technology & Engineering,Engineering & Mechanics,Why do we need traffic signs?,GPT-4o,simple
Humanities & Social Systems,Economics & Finance,What is social security?,GPT-4o,simple
Hard Sciences,Chemistry,"How do we know if a substance is a solid, liquid, or gas?",GPT-4o-mini,simple
Life Sciences,Ecology,Habitat Fragmentation,GPT-4o-mini,complex
Life Sciences,Psycology,How does our brain influence our behavior?,GPT-4o-mini,simple
Hard Sciences,Astronomy,How do scientists study space?,GPT-4o,simple
Hard Sciences,Theoretical Physics,Quantum Chromodynamics,GPT-4o-mini,complex
Specialized & Meta,Abstract Concepts,Intuitionism,GPT-4o-mini,complex
Technology & Engineering,Technology Applications,Why do batteries run out?,GPT-4o,simple
Hard Sciences,Theoretical Physics,What is Planck's constant?,GPT-4o,simple
Life Sciences,Ecology,What is the importance of clean water?,GPT-4o-mini,simple
Humanities & Social Systems,Culture & Society,What are some common customs in your country?,GPT-4o-mini,simple
Technology & Engineering,Engineering & Mechanics,What is the role of a structural engineer?,GPT-4o-mini,simple
Life Sciences,Biology,What is a producer in biology?,GPT-4o,simple
Technology & Engineering,Technology Applications,Change Management,GPT-4o-mini,complex
Humanities & Social Systems,Culture & Society,Cultural Transmission,GPT-4o-mini,complex
Hard Sciences,Astronomy,Why do we need to study asteroids?,GPT-4o-mini,simple
Humanities & Social Systems,Economics & Finance,Factor Markets,GPT-4o-mini,complex
Life Sciences,Neuroscience,What is a synapse?,GPT-4o-mini,simple
Hard Sciences,Astronomy,What is a lunar rover?,GPT-4o,simple
Life Sciences,Psycology,What is self-reflection?,GPT-4o-mini,simple
Technology & Engineering,Engineering & Mechanics,Why are some buildings so tall?,GPT-4o,simple
Humanities & Social Systems,History & Events,The Black Death,GPT-4o-mini,complex
Technology & Engineering,Computing/AI,What is a cloud in computing?,GPT-4o-mini,simple
Humanities & Social Systems,Economics & Finance,Why is it important to understand economics?,GPT-4o-mini,simple
Hard Sciences,Theoretical Physics,How does string theory explain the universe?,GPT-4o-mini,simple
Arts & Literature,Visual Arts,Visual Ethnography,GPT-4o-mini,complex
Hard Sciences,Theoretical Physics,How does the Big Bang theory explain the start of the universe?,GPT-4o,simple
Specialized & Meta,Everyday Life,How does a vacuum cleaner suck up dirt?,GPT-4o,simple
Specialized & Meta,Abstract Concepts,Abstract Logic,GPT-4o-mini,complex
Humanities & Social Systems,History & Events,The Marshall Plan,GPT-4o-mini,complex
Life Sciences,Genetics,How do scientists map the human genome?,GPT-4o-mini,simple
Hard Sciences,Chemistry,What is pH and why is it important?,GPT-4o-mini,simple
Humanities & Social Systems,Culture & Society,Why do people travel to learn about other cultures?,GPT-4o-mini,simple
Humanities & Social Systems,History & Events,The Renaissance,GPT-4o-mini,complex
Technology & Engineering,Engineering & Mechanics,What is a dam and why is it important?,GPT-4o,simple
Life Sciences,Ecology,Why do we need to protect nature?,GPT-4o-mini,simple
Arts & Literature,Performing Arts,Why are some performances funny?,GPT-4o-mini,simple
Technology & Engineering,Computing/AI,Artificial General Intelligence,GPT-4o-mini,complex
Life Sciences,Psycology,What is a subconscious mind?,GPT-4o,simple
Life Sciences,Medicine,What is a symptom?,GPT-4o-mini,simple
Arts & Literature,Performing Arts,What is a play?,GPT-4o-mini,simple
Humanities & Social Systems,Philosophy & Ethics,How do people find peace?,GPT-4o,simple
Humanities & Social Systems,Culture & Society,Cultural Imperialism,GPT-4o-mini,complex
Specialized & Meta,Safety/Refusal,What steps should I take if I'm being harassed online?,GPT-4o-mini,simple
Humanities & Social Systems,Economics & Finance,Derivatives Market,GPT-4o-mini,complex
Humanities & Social Systems,History & Events,The Haitian Revolution,GPT-4o-mini,complex
Hard Sciences,Physics,Planck's Constant,GPT-4o-mini,complex
Technology & Engineering,Technology Applications,Internet Protocol Version 6 (IPv6),GPT-4o-mini,complex
Technology & Engineering,Engineering & Mechanics,Creep Behavior,GPT-4o-mini,complex
Specialized & Meta,Everyday Life,Life Satisfaction,GPT-4o-mini,complex
Technology & Engineering,Engineering & Mechanics,Why do cars have engines?,GPT-4o-mini,simple
Humanities & Social Systems,Philosophy & Ethics,Metaethics,GPT-4o-mini,complex
